Facility Number,Facility Name,Common Name,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude
100017-3,202 KJ,,Central Zone,Not set,Not set,Not set,Not set,Not set,Dispensary,Operating,Public - Military,,,-5.05716,32.82869
108548-9,23kj,Jeshini / JWTZ,Lake Zone,Kagera,Biharamulo,Biharamulo DC,Biharamulo Mjini,Biharamulo Mjini,Dispensary,Operating,Public - Military,,,-2.63157,31.33744
110967-7,24kj,24kj,Western Zone,Kigoma,Kigoma,Kigoma Ujiji MC,Mwanga Kusini,Vamiya,Dispensary,Operating,Public - Military,,,-4.89334,29.63601
100019-9,511KJ Gongo la Mboto,Hospitali ya jeshi,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Gongo la Mboto,G/Mboto,Dispensary,Operating,Public - Military,,,-6.88878,39.15133
100021-5,514KJ,Zahanati ya Jeshi,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Ubena,Dispensary,Operating,Public - Military,,,-8.83274,34.839154
100542-0,821KJ,Zahanati ya Bulombora,Western Zone,Kigoma,Kigoma,Kigoma DC,Mwamgongo,Mwamgongo,Dispensary,Operating,Public - Military,,,-5.034967,29.789642
110841-4,909 Dental Centre,909 Dental,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Mfaume,Clinic - Dental Clinic,Operating,Private - For Profit,72422,,-6.809073,39.27917
100024-9,A and A,Kwa Kasela,Southern Highlands Zone,Mbeya,Mbarali,Mbarali DC,Ubaruku,Mkombwe,Dispensary,Operating,Private - For Profit,128204,,-8.67632,34.304
100025-6,AA&B,AAB&R,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kibasila,Clinic - Other Clinic,Operating,Private - For Profit,72368,,-6.800753,39.27466
100029-8,AAR,,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Health Center,Operating,Private - For Profit,,,-3.37317,36.7018
100031-4,AAR,AAR,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Regent Estate,Health Center,Operating,Private - For Profit,,,-6.77842,39.25741
100030-6,AAR,AAR,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kisutu,Kisutu,Health Center,Operating,Private - NGOs,72329,,-6.81643,39.2856
110968-5,AAR,AAR Dispensary,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Mbugani,Mbugani 'B',Dispensary,Operating,Private - For Profit,,,-2.522568,32.911583
109574-4,AAR KIA,,Northern Zone,Kilimanjaro,Hai,Hai DC,KIA,Kia,Dispensary,Operating,Private - For Profit,35221,,-3.44194,37.06679
110844-8,AAR Mbagala,AAR Mbagala Clinic,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mbagala,Mbagala,Dispensary,Operating,Private - For Profit,73364,,-6.91034,39.26977
108660-2,AAR Sinza,AAR Sinza,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza C,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.788666,39.221832
111438-8,AAR Tabata,AAR Tabata,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Tabata,Health Center,Operating,Private - For Profit,,,-6.84306,39.20898
108681-8,AAR Tegeta,AAR Tegeta,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Wazo,Wazo,Dispensary,Operating,Private - For Profit,71438,,-6.65972,39.18128
111159-0,AAR WAZO,AAR wazo,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Wazo,Wazo,Dispensary,Operating,Private - For Profit,,,-6.6649,39.168295
109828-4,Abbas Medical Centre,Dr. Abbas,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Jangwani,Mtambani,Dispensary,Operating,Private - For Profit,72016,,-6.81513,39.27406
110005-6,Access,Kwa Mathias,Eastern Zone,Pwani,Kibaha,Kibaha TC,Mkuza,Mkuza,Dispensary,Operating,Private - For Profit,62215,,-6.75485,38.9324
110779-6,Access Medical and Dialysis Centre,Access Medical and Dialysis Centre,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Bonde la Mpunga,Clinic - Other Clinic,Operating,Private - For Profit,71411,,-6.76675,39.26138
111629-2,ACDK,DMK Eye Clinic,Northern Zone,Manyara,Kiteto,Kiteto DC,Partimbo,Partimbo,Clinic - Eye Clinic,Operating,Private - Faith based organization (FBO),,,-5.32693,36.5677
110991-7,Achwi,Achwi,Central Zone,Dodoma,Kondoa,Kondoa DC,Bolisa,Bolisa,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-4.77252,35.78413
111902-3,Adricardo,Adrikalo,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kitonga,Clinic - Other Clinic,Operating,Private - For Profit,72470,,-6.80516,39.27842
110995-8,Afana Eye,Afana,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Tanesco,Clinic,Operating,Private - For Profit,,,-8.895922,33.441458
105282-8,Africa Amini Momella,Momela Olkungwado,Northern Zone,Arusha,Arumeru,Meru DC,Ngarenanyuki,Olkong'wado,Health Center,Operating,Public - LGA,,,-3.213285,36.861852
100034-8,Africa Sana Dental,Africa Sana,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kijitonyama,Mwenge,Clinic - Dental Clinic,Operating,Private - For Profit,,,-6.773807,39.233285
112096-3,Africana,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Miburani,Wailes,Clinic - Eye Clinic,Operating,Private - For Profit,24,,-6.86653,39.27168
100035-5,Afya,Afya,Southern Highlands Zone,Katavi,Mpanda,Mpanda TC,Makanyagio,Makanyagio,Dispensary,Operating,Private - For Profit,151206,,-6.340138,31.068905
110612-9,Afya,afya,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza B,Dispensary,Operating,Private - For Profit,,,-6.78639,39.22538
100036-3,Afya Bora,Afya Bora,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Miembeni,Dispensary,Operating,Private - For Profit,72263,,-6.84474,39.2261
100037-1,Afya Care,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kiburugwa,Kwanyoka,Dispensary,Closed,Private - For Profit,,,-6.91265,39.2547
110656-6,Afya care,KG Afya care,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Mbezi,Msakuzi,Dispensary,Operating,Private - For Profit,,,-6.75628,39.09964
100039-7,Afya Care Charitable,Tausi,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kimanga,Kisukuru,Dispensary,Operating,Private - NGOs,72290,,-6.827736,39.19782
111888-4,Afya care charitable,Afya care mbezi kwa msuguli,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Msigani,Temboni,Dispensary,Operating,Private - For Profit,,,-6.79672,39.12846
100038-9,Afya Care charitable,Afya Care,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Karakata,Dispensary,Operating,Private - NGOs,72395,,-6.85834,39.20393
112054-2,Afya check superspecialized kidney and diagnostic and dialysis,Afya Clinic,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Ruanda,Kabwe,Clinic - Other Clinic,Operating,Private - For Profit,127240,,-8.91691,33.46545
100040-5,Afya Head Quarters,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Kivukoni,Dispensary,Closed,Public - LGA,,,-6.81462,39.29296
111552-6,Afya Max Polyclinic and Diagnostic Centre,Afyamax Clinics,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Sakina,Clinic,Operating,Private - For Profit,23250,,-3.36601,36.67566
111873-6,Afya Medicare .,Afya Medicare Health Centre,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Maguvani,Health Center,Operating,Private - For Profit,113225,,-8.8415,34.83342
110425-6,Afya Specialized,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kingo,Kingo,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.82778,37.6674
111946-0,Afyabora,AFYA BORA,Lake Zone,Kagera,Bukoba,Bukoba MC,Bilele,Jamhuri,Dispensary,Closed (Temporary),Private - For Profit,186206,,-1.33157,31.81111
100042-1,Afyayako,Afya yako prinmat,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga MC,Izia,Izia,Maternity Home,Operating,Private - For Profit,107,,-7.947572,31.617587
110621-0,Aga Khan,Aga khan,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mbezi beach A,Health Center,Operating,Private - For Profit,,,-6.725548,39.214022
100044-7,Aga Khan,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mji Mkuu,Boma,Health Center,Operating,Private - For Profit,,,-6.82926,37.66494
111532-8,Aga Khan,Aga Khan Mikocheni,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Mikocheni B,Clinic - Other Clinic,Pending Operation - Construction Complete,Private - For Profit,,,-6.7497,39.24034
100045-4,Aga Khan,Agakhan Medical centre,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Kitanzini,Maweni,Health Center,Operating,Private - For Profit,116002,,-7.78328,35.69643
111422-2,Aga Khan,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Tandika,Tandika,Dispensary,Operating,Private - For Profit,,,-6.868072,39.259839
100046-2,Aga Khan,Aga Khan,Central Zone,Dodoma,Dodoma,Dodoma MC,Madukani,Jamali,Health Center,Operating,Private - Faith based organization (FBO),14003,,-6.180008,35.746365
111808-2,Aga Khan,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mbagala Kuu,Kibondemaji B,Dispensary,Operating,Private - For Profit,,,-6.91529,39.27254
111531-0,Aga Khan,Aga Khan Masaki,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Masaki,Clinic,Operating,Private - For Profit,Hc 213/453/01/835,,-6.74668,39.2762
108577-8,Agakhan,AGA KHAN HEALTH CENTRE,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Pangani,Health Center,Operating,Private - For Profit,23236,,-3.37077,36.68944
111907-2,Agakhan,Aga khan,Eastern Zone,Dar es Salaam,Kigamboni,Kigamboni MC,Kibada,Kifurukwe,Clinic - Other Clinic,Operating,Private - For Profit,73388,,-6.87674,39.34119
112162-3,Agakhan,Agakhan,Western Zone,Shinyanga,Kahama,Kahama TC,Kahama Mjini,Igalilimi,Dispensary,Operating,Private - For Profit,,,-3.827406,32.59816
