ID,ID,ORGINAL LABEL,EN,SW
Kpa6sheYah0,Kpa6sheYah0,Road Traffic Accidents,Road Traffic Accidents,Ajali Barabani
Wyorktq1rUA,Wyorktq1rUA,Eye Infection,Eye Infection,Ambukizo la jicho
f6Q9p6uSWtS,f6Q9p6uSWtS,Chronic Ear Infection,Chronic Ear Infection,Ambukizo sugu la skio
SAD8J9zO6MF,SAD8J9zO6MF,Marasmus ,Marasmus ,Chirwa
VmFo3tNlgIW,VmFo3tNlgIW,Ill Defined Symptoms (No Diagnosis),Ill Defined Symptoms (No Diagnosis),Dalili sizizoeleweka
ItK93OX9wyu,ItK93OX9wyu,Symptomatic Hiv Infection,Symptomatic Hiv Infection,Dalili za maambukizi ya VVU
nWRerupXUoy,nWRerupXUoy,Other Emergencies,Other Emergencies,Dharura nyingine
eTOV59Rcv4F,eTOV59Rcv4F,Neuroses,Neuroses,Fadhaa
ccIfQsrfWeL,ccIfQsrfWeL,Relapsing Fever (Louse Borne Typhus),Relapsing Fever (Louse Borne Typhus),Homa ya kurudia
O9HZJ5frgiJ,O9HZJ5frgiJ,Yellow Fever,Yellow Fever,Homa ya manjano
mcVhgPQtLLX,mcVhgPQtLLX,Typhoid,Typhoid,Homa ya matumbo
NlXYR3IJWCl,NlXYR3IJWCl,Rheumatic Fever,Rheumatic Fever,Homa ya rumatizimu
ykShMtNgDB1,ykShMtNgDB1,Idadi ya Watu,Population,Idadi ya Watu
iP9wSaCAZl5,iP9wSaCAZl5,Caries,Caries,Karisi
LD4thW4OmXi,LD4thW4OmXi,Psychoses,Psychoses,Kichaa
Wa3cm09YbsP,Wa3cm09YbsP,Rabies,Rabies,Kichaa cha mbwa
ctT1j57B2OL,ctT1j57B2OL,Schistosomiasis,Schistosomiasis,Kichocho
fLjZYZB3tuB,fLjZYZB3tuB,"Pneumonia, Non-Severe","Pneumonia, Non-Severe","Kichomi, isiyokali"
sr87SW2uEmt,sr87SW2uEmt,"Pneumonia, Severe","Pneumonia, Severe","Kichomi, Kali"
x5cswY9qs7m,x5cswY9qs7m,Epilepsy,Epilepsy,Kifafa
ACM4BHrKZNQ,ACM4BHrKZNQ,Tuberculosis,Tuberculosis,Kifua kikuu
mMkFYcDVj3e,mMkFYcDVj3e,Cholera,Cholera,Kipindupindu
zfhmMA4HeJn,zfhmMA4HeJn,Diabetes Mellitus,Diabetes Mellitus,Kisukari
zqaHIXl6j7c,zqaHIXl6j7c,Burn,Burn,Kuchomeka
SgeSIiqTN2l,SgeSIiqTN2l,Acute Diarrhoea (<14 Days),Acute Diarrhoea (<14 Days),Kuharisha
NLBkuHemCAx,NLBkuHemCAx,Diarrhea With No Dehydration,Diarrhea With No Dehydration,Kuharisha bila upungufu wa maji mwilini
v6sdLtxvY1K,v6sdLtxvY1K,Dysentery,Dysentery,Kuharisha damu
C2Rg2uPfbhs,C2Rg2uPfbhs,Diarrhea Chronic (>= 14 Days),Diarrhea Chronic (>= 14 Days),Kuharisha kwa muda mrefu
f8yQ5FUAIx0,f8yQ5FUAIx0,Diarrhea With Severe Dehydration,Diarrhea With Severe Dehydration,Kuharisha na upungufu mkali wa maji mwilini
zQQFpz3JT6g,zQQFpz3JT6g,Diarrhea With Some Dehydration,Diarrhea With Some Dehydration,Kuharisha na upungufu wa maji mwilini
fWq6ZXy0Uzp,fWq6ZXy0Uzp,Animal Bites(No Suspected Rabies),Animal Bites(No Suspected Rabies),Kung'atwa na wanyama (isiyo watuhumiwa kichaa cha mbwa)
QqqAeR0wrwS,QqqAeR0wrwS,Animal Bite (Suspected Rabies),Animal Bite (Suspected Rabies),Kung'atwa na wanyama (watuhumiwa kichaa cha mbwa)
Y6xpjIVTsJ7,Y6xpjIVTsJ7,Cerebral Palsy,Cerebral Palsy,Kupooza kwa ubongo
q3ELeLciuTh,q3ELeLciuTh,Acute Flaccid Paralysis,Acute Flaccid Paralysis,Kupooza tepetevu kwa ghafla
MG98iWgxXNT,MG98iWgxXNT,Abortion,Abortion,Kutoa mimba
wwl4tRTnPEo,wwl4tRTnPEo,Referred Out from OPD,Referred Out from OPD,Kutumwa kutoka OPD
